,name,成立年数,上市年数
0,SZ000998,21,20
1,SH600265,21,20
2,SZ002556,30,9
3,SZ002385,26,10
4,SZ000713,23,23
5,SZ002714,20,6
6,SZ002891,18,3
7,SH600371,25,18
8,SH600598,22,18
9,SZ000860,22,22
10,SH600354,22,16
11,SH600506,21,19
12,SH601952,28,3
13,SH600313,21,19
14,SH603668,15,3
15,SH603336,28,4
16,SZ300189,20,9
17,SH600108,25,23
18,SZ002746,19,5
19,SZ002041,20,15
20,SZ002157,24,13
21,SH601118,15,9
22,SZ002311,16,11
23,SZ300498,27,5
24,SZ002299,21,11
25,SZ002696,20,8
26,SZ002124,24,13
27,SH600359,21,21
28,SZ002086,19,14
29,SZ002240,19,12
30,SH600076,27,23
31,SZ300094,19,10
32,SZ300106,17,10
33,SZ002200,19,13
34,SH600275,21,20
35,SZ000592,27,24
36,SZ300087,18,10
37,SZ002069,28,14
38,SZ002234,23,12
39,SZ300313,17,8
40,SH600540,21,16
41,SH600467,27,16
42,SH600257,21,20
43,SZ002679,24,8
44,SZ300262,21,9
45,SZ300761,23,1
46,SH600097,27,23
47,SZ002321,18,11
48,SZ000798,22,22
49,SZ000663,26,24
50,SH600975,19,16
51,SZ002458,23,10
52,SZ002688,30,8
53,SZ002100,20,14
54,SZ000735,33,23
55,SH600965,22,16
56,SH603363,9,3
57,SZ300511,23,4
