,name,2018_lrze,2018jrl,2017_lrze,2017jrl,2016_lrze,2016jrl,2015_lrze,2015jrl,2014_lrze,2014jrl,2013_lrze,2013jrl,2012_lrze,2012jrl,2011_lrze,2011jrl,2010_lrze,2010jrl
0,SZ000998,15.5亿,7.91亿,14.5亿,7.72亿,9.46亿,5.01亿,7.98亿,4.91亿,6.61亿,3.62亿,6.40亿,1.86亿,5.61亿,1.71亿,5.49亿,1.33亿,3.72亿,7460万
1,SH600265,2478万,606万,449万,-3096万,245万,3371万,40.7万,-9105万,-173万,-4573万,1.00亿,1421万,-503万,-1.07亿,-637万,-1.35亿,5139万,805万
2,SZ002556,8.04亿,1.39亿,7.02亿,1.37亿,4.44亿,1.03亿,5.74亿,1.70亿,5.33亿,1.40亿,3.66亿,9028万,4.28亿,6988万,5.01亿,1.06亿,3.96亿,1.37亿
3,SZ002385,35.6亿,5.07亿,44.8亿,12.7亿,41.6亿,8.83亿,39.1亿,7.06亿,40.5亿,7.96亿,34.5亿,7.69亿,22.8亿,6.75亿,16.8亿,5.04亿,12.0亿,3.11亿
4,SZ000713,3.06亿,5319万,2.07亿,1166万,1.97亿,2138万,2.52亿,3043万,2.72亿,6097万,2.76亿,5577万,3.60亿,6840万,3.28亿,5476万,3.61亿,9008万
5,SZ002714,12.9亿,5.20亿,29.8亿,23.7亿,25.6亿,23.2亿,--,5.96亿,--,8020万,--,3.04亿,--,3.30亿,--,3.57亿,--,8561万
6,SZ002891,3.23亿,5644万,2.46亿,7367万,2.06亿,6728万,1.50亿,5569万,9292万,906万,7694万,1604万, , , , , , 
7,SH600371,1.27亿,5203万,1.24亿,5763万,1.20亿,5491万,1.08亿,568万,1.30亿,443万,8933万,-3539万,2.23亿,8304万,2.12亿,8004万,1.88亿,4171万
8,SH600598,27.2亿,9.76亿,25.6亿,7.80亿,24.3亿,7.35亿,24.7亿,6.59亿,24.9亿,8.00亿,24.4亿,-3.77亿,23.8亿,-1.88亿,24.1亿,4.41亿,20.2亿,3.57亿
9,SZ000860,32.2亿,7.44亿,26.9亿,4.38亿,25.9亿,4.13亿,25.1亿,3.76亿,21.7亿,3.59亿,19.7亿,1.98亿,16.9亿,1.26亿,16.0亿,3.07亿,12.8亿,2.65亿
10,SH600354,7589万,-2.18亿,4187万,2561万,1.41亿,-2.54亿,3.89亿,2235万,4.33亿,-3.33亿,6.38亿,1734万,4.92亿,-1.29亿,6.17亿,1566万,6.41亿,8069万
11,SH600506,82.2万,453万,228万,508万,445万,-585万,536万,623万,694万,-1508万,1179万,479万,534万,-561万,2531万,508万,1629万,312万
12,SH601952,10.0亿,5.90亿,8.38亿,6.05亿,8.51亿,5.57亿,8.13亿,5.05亿,8.04亿,4.88亿,8.08亿,4.89亿,7.24亿,4.19亿,6.64亿,4.04亿, , 
13,SH600313,2.56亿,3170万,1.94亿,-2.85亿,3.24亿,4474万,2.70亿,8452万,2.12亿,1.11亿,1.83亿,4269万,1.04亿,2963万,5211万,798万,257万,5318万
14,SH603668,2.59亿,7355万,2.26亿,9086万,1.85亿,8029万,1.60亿,6605万,1.45亿,5954万,1.22亿,4732万,1.18亿,4157万,8004万,2373万, , 
15,SH603336,1.09亿,6417万,1.14亿,6333万,1.09亿,6062万,1.13亿,6255万,1.02亿,4625万,1.09亿,4058万,1.04亿,4910万,8433万,4569万, , 
16,SZ300189,1010万,2042万,1.57亿,-1635万,1.62亿,1593万,7811万,-2036万,--,-9000万,--,3842万,1.38亿,5956万,--,5907万,--,6156万
17,SH600108,5.11亿,8473万,4.98亿,9789万,4.68亿,7546万,5.02亿,1.23亿,4.95亿,2.06亿,6.11亿,4.07亿,5.73亿,4.53亿,3.83亿,1.11亿,2.53亿,1.30亿
18,SZ002746,4.32亿,4.02亿,1.27亿,1.02亿,3.17亿,2.46亿,8437万,2256万,1.32亿,4434万,9551万,4762万,1.56亿,8678万,2.62亿,1.98亿,1.68亿,1.08亿
19,SZ002041,2.50亿,3253万,3.25亿,1.67亿,8.45亿,4.42亿,8.12亿,3.68亿,8.57亿,3.80亿,8.90亿,3.38亿,6.94亿,2.58亿,6.70亿,2.32亿,6.16亿,2.09亿
20,SZ002157,22.3亿,1.93亿,23.7亿,5.26亿,25.9亿,10.5亿,15.2亿,3.11亿,11.0亿,8074万,8.35亿,-2994万,7.89亿,8033万,7.50亿,1.26亿,5.07亿,5804万
21,SH601118,2.20亿,2.29亿,5.50亿,-2.64亿,5.09亿,6131万,8918万,-9.90亿,6.16亿,2238万,5.44亿,1.56亿,9.24亿,2.97亿,15.6亿,7.61亿,12.7亿,5.73亿
22,SZ002311,44.9亿,14.4亿,35.3亿,12.1亿,25.3亿,8.56亿,24.0亿,7.80亿,20.7亿,5.38亿,15.2亿,3.40亿,14.5亿,4.52亿,11.1亿,3.44亿,6.64亿,2.11亿
23,SZ300498,95.8亿,39.6亿,111亿,67.5亿,167亿,118亿,94.3亿,62.1亿,52.2亿,26.9亿,24.6亿,5.54亿,44.3亿,26.2亿,66.1亿,47.5亿,33.6亿,19.2亿
24,SZ002299,23.4亿,15.1亿,10.8亿,3.15亿,13.0亿,7.63亿,-598万,-3.88亿,5.25亿,7618万,1.00亿,-2.20亿,1.90亿,263万,6.45亿,4.68亿,3.96亿,2.78亿
25,SZ002696,6.44亿,5714万,3.88亿,1.13亿,2.36亿,5926万,2.24亿,5708万,2.00亿,5640万,1.56亿,5688万,1.59亿,8464万,1.42亿,6482万,1.10亿,4630万
26,SZ002124,5.17亿,-5.72亿,7.38亿,2.62亿,7.51亿,3.73亿,4.28亿,1.10亿,3.24亿,3247万,2.84亿,1.17亿,2.45亿,4518万,2.64亿,3002万,1.57亿,3906万
27,SH600359,9730万,-2.18亿,4485万,3378万,1.71亿,-1.51亿,1.51亿,1343万,1.24亿,2033万,1.48亿,1517万,2.03亿,6735万,1.64亿,-6.43亿,2.59亿,-996万
28,SZ002086,1.61亿,-7.88亿,1.93亿,1.24亿,1.67亿,7662万,1.68亿,4996万,1.44亿,4160万,1.56亿,5701万,1.99亿,9918万,1.84亿,9550万,1.47亿,7336万
29,SZ002240,3.22亿,1.60亿,1.35亿,2626万,9496万,2341万,7687万,-1.95亿,1.84亿,1141万,1.51亿,958万,1.14亿,-1.17亿,2.58亿,938万,1.63亿,1900万
30,SH600076,7.42亿,4.68亿,6.76亿,4.66亿,5.05亿,3.84亿,4.13亿,2.69亿,3.46亿,1.88亿,236万,5209万,414万,-526万,432万,-2134万,558万,-2139万
31,SZ300094,6.44亿,2.31亿,5.52亿,1.44亿,3.29亿,9394万,2.15亿,2277万,2.53亿,2.25亿,2.82亿,5649万,4441万,-2.26亿,1.27亿,1172万,1.79亿,7878万
32,SZ300106,4716万,1971万,2802万,-3.67亿,4479万,-5221万,3291万,2311万,1.13亿,2249万,7613万,2718万,7247万,3172万,5147万,3826万,4474万,3416万
