,name,2019-9-30,930主营业务收入mainBusinessIncome,930总利润contributionMargin,930净利润retainedProfits,930总资产totalAssets,930总负债totalLiabilities,2019-6-30,630主营业务收入mainBusinessIncome,630总利润contributionMargin,630净利润retainedProfits,630总资产totalAssets,630总负债totalLiabilities,2019-3-31,331主营业务收入mainBusinessIncome,331总利润contributionMargin,331净利润retainedProfits,331总资产totalAssets,331总负债totalLiabilities,2018-12-31,1231主营业务收入mainBusinessIncome,1231总利润contributionMargin,1231净利润retainedProfits,1231总资产totalAssets,1231总负债totalLiabilities,2018-9-30,8930主营业务收入mainBusinessIncome,8930总利润contributionMargin,8930净利润retainedProfits,8930总资产totalAssets,8930总负债totalLiabilities
0,000998.SZ, ,119931.374541,-21081.0206,-26868.764242,1560962.54112,872422.94791, ,124366.376489,14031.193561,6849.658266,1527713.766426,800270.160624, ,73955.279662,15187.115364,13438.821968,1529121.349037,781500.763072, ,357971.739327,93975.008455,79100.250222,1536373.978159,787243.756011, ,145657.239949,14827.023763,7723.195286,1332861.584884,744328.775583
1,600265.SH, ,14293.208474,-647.012706,-648.614442,34395.619608,31796.455929, ,5054.584435,-194.227957,-185.382136,34489.617025,31438.339023, ,3609.698189,11.930474,15.444085,32268.981868,29004.047243, ,11886.670652,569.124351,605.806444,36948.855374,33695.851223, ,5397.905692,-2125.532858,-2113.838963,31799.709435,31345.581112
2,002556.SZ, ,1334722.467752,13865.772032,9042.59344,812552.126347,551150.552302, ,888645.50101,12495.620998,8495.147062,860938.56462,602520.845567, ,348468.676082,5903.635036,3957.89585,890840.267339,633532.708361, ,1682714.078296,18960.841595,13854.250554,824730.206156,566664.073354, ,1262738.049123,18998.449972,13934.745595,814801.191183,553720.933665
3,002385.SZ, ,1222347.425232,40766.618567,30204.223704,1836967.134125,683920.935395, ,814214.065371,7400.725998,3362.212557,1816668.131234,686962.997961, ,405748.557982,-2722.060592,-3884.823965,1747413.086914,678977.643498, ,1930206.671755,65563.926783,50691.126157,1809572.057833,738136.827595, ,1421823.795609,54593.795754,44058.546977,1951048.500921,850396.280332
4,000713.SZ, ,164366.639937,2191.276677,601.773538,261895.816308,99560.350169, ,118671.254735,3593.492578,2691.562032,251423.135571,87133.462163, ,56969.004561,4097.875869,3658.273389,246635.470692,80665.869095, ,192714.547956,7172.701673,5318.956366,244250.05118,81886.680241, ,110996.176155,-641.838147,-2108.057745,226605.245082,90868.569731
5,002714.SZ, ,1173328.871379,144163.20751,138691.266852,3723342.767945,1719819.134895, ,715986.472696,-15404.374112,-15570.187163,3129591.554616,1784210.246325, ,304810.932417,-55386.264508,-54093.752698,3110258.775768,1795179.427735, ,1338815.768594,52611.386897,52020.883016,2984186.28989,1613422.770978, ,918143.005782,35027.0033,35019.078234,2764106.287442,1535360.237325
6,002891.SZ, ,121515.846697,8565.422568,4621.122692,166701.885996,73009.443841, ,78716.562033,4196.452584,1610.68982,157798.811945,68178.327024, ,38059.969095,1554.221251,684.419821,168015.953995,79174.394389, ,141225.831987,6789.515738,5644.466501,140734.737582,57370.367295, ,101031.608924,6842.805034,4199.46694,126404.031493,43786.977642
7,600371.SH, ,18513.246079,4942.424577,4416.007904,81150.063744,28172.654009, ,13030.160368,3964.307238,3541.828985,81777.590781,25277.099157, ,6958.65714,1416.89194,1261.98635,78367.156017,24414.079691, ,26389.077175,5789.876502,5203.228016,78840.571175,26304.386789, ,17671.189025,3696.390863,3303.169184,78563.715762,28150.415045
8,600598.SH, ,243013.598696,95835.568194,97272.115807,852883.394615,196880.287533, ,168975.218518,69231.827707,70369.642711,906592.461092,277198.502455, ,57197.590054,26841.766885,27140.275968,1077714.990654,420156.860465, ,326477.878125,93317.54862,97647.557391,797346.667538,166556.120204, ,256549.925451,97693.095755,97395.80161,857489.571394,220690.280388
9,000860.SZ, ,1106193.015518,93683.589937,66469.256564,2040930.06182,1309601.095775, ,841603.868273,91271.357798,64802.825903,2017287.178678,1287903.905502, ,476519.769406,60930.095245,42857.978754,2040298.236395,1324681.356781, ,1207437.318362,105942.007056,74425.59289,1985083.129843,1212209.588783, ,920341.44433,73072.551155,53632.849586,1780522.606278,1027488.578001
